food_category,plate_coverage_ratio,leftover_area_px,total_plate_area_px,color_variance,texture_score,brightness_mean,estimated_weight_grams,waste_percentage,waste_level
mixed,0.61533,16818.52,47123.97,340.7332,305.75,118.8,688.61,36.83,medium
bread,0.97867,2212.09,41282.1,75.093,164.3576,98.49,63.0,6.22,low
bread,0.64262,18171.63,48888.85,29.3306,151.1449,113.3,517.04,33.6,medium
curry,0.84029,7704.74,41073.81,338.817,295.2306,116.56,346.95,20.95,medium
dal,0.96932,3568.61,42096.56,79.5436,64.2715,118.25,170.94,8.29,low
dal,0.87965,4562.87,45354.88,125.4528,91.8685,135.09,221.73,11.49,low
vegetables,0.52361,26297.58,54299.22,348.7391,321.2927,158.33,970.08,53.73,high
dessert,0.89896,3727.0,47050.18,174.5857,155.7606,125.11,211.22,9.03,low
vegetables,0.69927,14583.9,45401.08,385.3626,348.4364,154.08,615.57,31.06,medium
rice,0.78735,5306.25,40013.65,114.1057,178.092,133.69,246.99,12.27,low
bread,0.48382,22769.93,46578.28,85.3903,124.1607,135.17,618.46,53.73,high
bread,0.86782,7310.68,43558.2,107.1674,130.5216,109.68,232.33,16.46,medium
rice,0.96882,4155.61,52819.6,98.1521,180.658,108.77,195.47,7.3,low
bread,0.807,7471.01,41503.04,103.9694,116.4164,135.28,245.5,19.25,medium
vegetables,0.35416,30848.67,42882.63,246.0338,237.3605,141.94,1318.18,63.19,high
dal,0.83257,5127.12,40785.5,77.7917,74.0004,110.08,267.22,11.25,low
dessert,0.25718,34398.08,53532.09,157.4039,85.1987,139.98,1771.39,64.76,high
salad,0.92536,5262.18,41136.38,605.8567,534.1625,126.45,195.47,11.55,low
dal,0.93157,2025.98,43973.06,106.3217,96.1593,109.13,102.81,4.69,low
bread,0.7188,14289.71,44524.95,19.9882,137.594,132.36,450.68,37.34,medium
vegetables,0.30084,29013.45,45207.38,286.4247,243.3822,120.46,1085.8,61.23,high
salad,0.78916,4917.96,44713.34,519.188,442.2264,108.91,183.23,12.69,low
rice,0.72077,12934.12,45979.04,104.7232,169.7901,146.8,622.37,29.56,medium
rice,0.79802,16676.17,52528.32,148.6982,156.9355,139.71,719.31,29.11,medium
dal,0.79357,9578.15,44919.38,107.6402,81.7891,110.3,415.67,19.41,medium
mixed,0.46033,21668.91,45010.71,269.2906,218.0958,93.9,984.19,45.22,high
mixed,0.51435,25936.89,48443.59,273.5902,262.007,150.67,1199.22,49.54,high
vegetables,1.0,5903.34,46522.76,521.9652,434.0477,152.88,242.4,11.93,low
curry,0.61307,16369.56,40666.58,334.3412,255.9073,161.94,770.49,40.73,high
bread,0.57083,18388.0,45832.3,51.3377,78.0808,109.69,542.64,39.76,medium
vegetables,0.73984,9434.75,49666.16,414.5244,378.8163,112.29,371.41,18.62,medium
vegetables,0.58274,19966.93,46947.79,332.5566,303.4275,122.41,808.34,41.76,high
dal,0.85009,3258.31,42551.02,77.7255,66.0338,137.71,141.86,6.75,low
mixed,0.12878,51389.79,51389.79,187.8983,182.0106,136.54,2149.32,95.08,severe
dessert,0.89233,3592.62,35559.85,181.9665,147.6773,100.38,204.23,11.12,low
rice,0.62267,12325.14,44746.76,105.7245,139.9575,135.07,561.55,31.78,medium
curry,0.66988,17179.34,42858.56,332.6355,246.0818,104.27,811.09,35.06,medium
curry,0.95968,415.82,42086.22,366.2241,320.9055,101.61,19.1,1.05,low
bread,0.89503,9415.71,51359.46,73.8255,107.127,108.45,296.6,17.45,medium
curry,0.51527,23827.56,54174.02,248.3132,218.0183,124.33,1072.41,47.18,high
salad,0.90248,4698.02,47817.13,554.9606,510.9313,126.79,173.36,9.7,low
dal,0.62606,14429.57,45121.78,97.9469,84.1253,154.24,724.85,37.11,medium
rice,0.60055,15332.8,39173.67,83.5123,116.8993,120.72,701.23,35.02,medium
vegetables,0.92787,4286.03,43485.37,411.0362,449.263,112.28,160.12,11.31,low
vegetables,0.13102,32943.07,45508.66,165.201,218.2856,142.07,1213.09,84.6,severe
vegetables,0.82982,5686.68,48727.98,423.2519,380.3414,116.39,244.07,11.26,low
dal,0.52331,18319.04,45865.83,96.9389,68.0263,120.35,928.05,43.71,high
mixed,0.75406,16710.04,50311.14,360.0392,337.2308,154.25,706.27,33.1,medium
dal,0.23843,32426.08,47624.11,92.4246,27.9873,132.8,1660.88,73.69,severe
rice,0.73352,10399.3,48817.03,70.9035,127.4567,115.49,489.84,22.21,medium
vegetables,0.77041,6802.45,41282.21,391.6003,394.9053,109.75,259.87,17.38,medium
rice,0.96593,4054.44,44382.88,130.6997,164.394,102.29,164.77,8.66,low
curry,0.79209,6135.27,39751.07,324.6947,276.1489,120.77,334.95,13.49,low
dal,0.72591,9113.36,39567.02,66.2568,80.3849,102.66,402.11,25.63,medium
dessert,0.92292,2223.89,43682.6,259.4566,128.4229,119.84,126.79,4.62,low
bread,0.02947,42604.43,48121.61,31.6131,23.3145,124.57,1233.92,94.24,severe
dessert,0.87765,6236.42,46760.44,216.8368,147.2719,101.38,348.5,14.3,low
salad,0.85928,1650.6,51616.4,545.8788,496.0013,130.41,54.48,3.23,low
vegetables,0.50961,21166.6,47062.62,321.4341,290.9741,113.52,856.37,47.96,high
mixed,0.1279,28908.44,41879.69,205.7457,133.2534,147.99,1365.41,77.23,severe
bread,0.85691,2171.2,39521.27,91.3801,144.0104,114.33,58.82,6.44,low
curry,0.70886,9560.21,44710.1,319.1805,257.1495,135.81,519.05,24.84,medium
salad,0.9476,2688.94,41354.27,610.9674,522.3252,138.34,97.88,5.72,low
dessert,0.85577,7022.25,51966.9,228.5517,138.4522,145.47,398.6,13.6,low
curry,0.93925,1166.5,38846.13,319.3278,334.0984,112.85,59.04,3.15,low
mixed,0.54554,20027.19,43178.4,315.7297,260.3767,118.56,851.3,41.63,high
dal,0.60463,15544.45,44044.88,91.1865,105.5832,139.28,685.99,37.32,medium
bread,0.95491,4341.1,44942.28,117.5792,80.2111,139.7,140.56,8.8,low
vegetables,0.91564,6573.16,46524.92,416.1826,421.83,97.42,244.85,13.43,low
salad,0.56665,14871.0,42314.14,436.9723,364.4676,138.45,479.82,38.92,medium
dal,0.98737,4272.46,50864.29,85.32,69.5575,103.73,215.36,9.03,low
vegetables,0.90461,4186.24,43057.77,433.593,436.0979,127.35,167.76,9.35,low
bread,0.0616,41646.04,41646.04,22.8308,55.2289,143.94,1271.58,98.32,severe
vegetables,0.16423,36994.86,45092.67,187.5192,164.4505,146.88,1436.77,81.05,severe
mixed,0.43208,28560.77,44817.45,246.4679,228.5042,95.63,1220.66,60.96,high
salad,0.87767,7555.17,50624.66,535.192,508.6769,146.79,276.13,14.44,low
dessert,0.92756,6333.63,45059.23,214.5516,144.2263,127.45,382.56,15.07,medium
dal,0.83064,4029.63,50482.23,45.3776,68.1474,137.97,198.26,8.73,low
dal,0.94823,772.71,44135.81,86.8279,135.5843,117.44,33.64,2.06,low
rice,0.96557,1880.64,38443.73,96.316,159.4864,125.44,85.59,5.24,low
dessert,0.87962,2736.2,39185.95,198.1364,141.0018,127.09,153.82,7.8,low
bread,0.37633,32081.61,49615.22,46.4199,91.3206,129.31,1008.87,68.68,high
vegetables,0.74876,11127.83,42076.97,401.738,376.9254,125.58,482.65,26.25,medium
rice,0.51794,17105.25,41974.67,77.4731,89.8325,130.0,823.17,47.34,high
curry,0.63284,18153.3,50644.48,292.278,286.8965,109.93,823.06,34.62,medium
curry,0.82373,10417.77,46640.89,328.0084,279.407,118.6,535.67,20.64,medium
curry,0.30444,23188.84,40142.28,204.3533,169.2116,132.24,1167.67,60.81,high
curry,0.96014,1094.71,41150.95,408.9424,317.7091,130.85,49.57,2.48,low
rice,0.89932,1606.04,41154.86,108.9447,196.428,127.64,71.38,4.21,low
dessert,0.34828,25444.58,44727.99,92.4755,41.8099,127.43,1521.29,66.53,high
dessert,0.46851,33949.35,50428.78,115.1891,97.1941,148.97,1835.09,58.91,high
vegetables,0.63228,15211.14,52675.16,353.5509,290.7338,111.08,652.31,32.82,medium
bread,0.41769,24522.87,41408.79,61.8296,59.6507,170.63,723.43,62.55,high
rice,0.76932,8980.57,42785.6,156.1967,141.2657,92.67,403.64,19.26,medium
salad,0.62167,15244.98,49679.26,431.9705,404.1017,121.7,518.15,33.95,medium
dal,0.87385,5277.87,47992.1,136.1479,94.2174,116.66,243.13,11.79,low
vegetables,0.73922,10751.75,45459.9,426.6411,396.9514,133.19,469.52,27.77,medium
mixed,0.9497,5479.71,49017.83,421.6946,401.5666,112.91,241.41,10.13,low
dal,0.67498,11802.45,50499.46,46.7017,82.9128,114.72,590.63,27.37,medium
rice,0.32619,30773.87,42703.36,53.8972,79.3192,133.83,1499.51,68.24,high
salad,0.84143,13963.52,49703.14,518.1015,477.1223,114.51,459.24,25.72,medium
salad,0.76893,10681.53,39762.07,516.2166,475.9423,129.5,338.38,30.6,medium
dessert,0.54737,21030.52,44181.28,131.7675,76.5585,128.21,1207.23,49.57,high
salad,0.83053,6296.61,50918.7,538.4187,499.4203,121.65,237.01,11.99,low
dessert,0.46294,20905.24,42670.64,128.8485,124.9229,150.27,1078.81,55.99,high
mixed,0.00865,42282.11,42282.11,136.263,162.5073,145.84,2001.43,98.28,severe
curry,0.30758,25916.89,38282.44,185.8374,180.625,155.88,1290.41,69.62,high
rice,1.0,3225.84,47952.42,172.0517,169.1083,111.98,149.64,5.93,low
vegetables,0.11838,41123.47,47101.11,189.781,199.3869,153.48,1682.58,89.26,severe
mixed,0.40717,33614.63,48484.24,251.7876,208.5577,127.94,1595.98,72.67,severe
curry,0.89106,960.08,39441.75,340.6122,280.869,112.62,51.1,2.73,low
dessert,0.91455,3571.48,42843.46,248.9516,144.4107,125.09,202.04,8.52,low
vegetables,0.86588,5131.65,37445.18,436.4235,390.9796,103.19,210.11,12.24,low
mixed,0.65726,17074.58,48426.29,301.1676,287.045,145.09,703.5,36.57,medium
dessert,1.0,14.78,43014.83,231.9692,161.2086,124.08,0.77,0.03,low
mixed,0.52249,17395.77,39596.33,250.0657,257.0745,116.42,732.37,47.01,high
salad,0.97694,2957.5,44327.98,580.632,554.395,96.12,113.35,6.38,low
dal,0.95123,4542.57,43678.12,83.9417,79.3086,112.42,226.8,12.01,low
mixed,0.6949,10497.63,39224.91,305.0609,296.5402,141.96,492.07,30.66,medium
bread,1.0,1757.52,43657.44,110.8609,159.7189,107.38,57.66,3.93,low
vegetables,0.67726,12932.19,50205.8,365.8869,395.4585,116.23,474.21,27.05,medium
rice,0.92299,6133.44,42249.2,153.7899,144.4475,131.36,288.06,14.39,low
curry,0.83336,9726.07,45213.38,383.4158,269.5314,145.86,529.87,20.25,medium
curry,0.58612,17732.83,39466.0,282.8188,226.6032,118.0,817.5,39.08,medium
dessert,0.91321,6129.74,47512.84,184.7054,123.8491,101.2,316.26,12.83,low
vegetables,0.86565,5176.71,45543.66,444.5477,405.3213,136.22,204.83,11.97,low
salad,0.50151,27201.31,48141.17,409.8918,364.5267,129.43,893.31,52.71,high
mixed,0.79481,8934.57,40966.56,385.4926,313.4093,112.24,365.1,24.25,medium
dessert,0.72026,8394.84,41834.37,214.3598,78.6909,143.14,434.78,23.01,medium
bread,0.39743,32590.13,52967.67,46.3185,82.5615,134.72,936.58,60.88,high
salad,0.21423,33601.36,47426.63,286.4865,245.627,153.63,1221.68,75.23,severe
vegetables,0.88743,10995.39,52320.2,455.4256,432.5781,141.38,475.14,22.69,medium
salad,0.63633,13970.5,41326.52,424.8102,364.6839,120.92,518.52,34.72,medium
dessert,0.84434,6763.26,45752.49,223.5776,132.3975,116.61,363.86,14.28,low
salad,0.90319,5528.04,43850.65,599.9454,515.3519,151.28,180.81,12.96,low
bread,0.10193,48005.76,48304.06,74.2737,29.1897,144.54,1353.56,86.53,severe
dal,0.96592,1714.75,49985.46,121.2685,69.9441,121.73,88.68,3.44,low
curry,0.0,46547.46,46547.46,121.3997,94.8821,127.08,2376.78,98.79,severe
salad,0.9296,6337.04,46549.37,597.501,522.5436,106.13,230.07,14.0,low
dessert,0.54097,21773.91,41837.49,128.9447,90.7614,135.94,1110.89,48.56,high
dal,0.27553,27926.25,47095.65,7.8678,52.3485,157.61,1360.72,68.45,high
dal,0.74167,7488.59,37938.34,79.0039,82.8907,152.9,364.34,21.36,medium
vegetables,0.20335,38726.62,45381.79,225.5261,186.8974,136.11,1613.18,79.67,severe
dal,0.68699,13857.06,42884.94,94.6936,69.2351,129.52,708.19,31.64,medium
dal,0.67785,20185.09,45374.39,76.6211,46.2758,148.02,954.47,39.61,medium
bread,0.20667,25665.84,39852.24,65.3592,76.7298,137.33,826.82,72.91,severe
rice,0.98265,2251.81,46091.95,162.9757,190.5528,102.54,100.53,5.05,low
rice,1.0,1075.23,46122.87,166.0306,170.4759,136.43,52.14,2.66,low
mixed,0.82638,5680.77,44159.17,387.4415,366.6068,91.36,280.82,14.25,low
mixed,0.90113,3819.24,43254.95,366.0889,334.1688,139.75,188.51,9.87,low
bread,0.88164,3694.09,52887.73,78.2244,108.9769,122.46,107.28,7.06,low
dessert,0.92445,1759.84,44504.44,210.875,132.5325,143.71,94.97,4.04,low
salad,0.46913,27329.07,47764.63,381.5489,295.8575,141.4,1043.84,53.08,high
curry,0.30308,26181.13,47659.3,146.8956,173.9907,122.35,1266.22,62.8,high
salad,0.79797,11035.19,55179.07,502.4434,450.8278,121.41,354.99,20.02,medium
dessert,0.93027,4230.38,43270.31,244.4189,169.2642,117.31,232.71,9.11,low
vegetables,0.67682,16057.39,48587.35,366.9833,338.7241,119.44,706.38,31.89,medium
rice,0.82425,8221.31,47439.92,64.722,166.4345,125.0,358.21,15.5,medium
vegetables,0.25652,30621.84,40755.49,228.1409,232.4936,131.7,1225.02,76.0,severe
dal,0.76536,11897.03,48536.59,97.6081,80.4617,134.36,532.81,21.94,medium
bread,0.86402,2282.96,39289.44,26.5218,146.6362,110.41,64.4,5.24,low
vegetables,0.72284,17827.41,50816.1,342.7347,340.4025,146.38,681.2,31.28,medium
vegetables,0.73388,10638.1,39788.64,402.1848,358.6036,101.73,408.45,28.65,medium
bread,0.98663,2356.38,45123.72,90.605,124.2018,134.62,71.11,5.83,low
salad,0.68341,15420.41,42023.74,493.401,446.4158,118.26,562.54,32.02,medium
salad,0.93715,2796.02,53083.37,552.2799,520.7721,112.85,91.37,4.89,low
curry,0.61958,17076.39,47922.07,281.4273,229.3002,140.18,801.6,37.97,medium
salad,0.73677,12634.15,51453.98,501.5483,391.3997,107.28,440.09,26.28,medium
dessert,0.36902,27944.02,46039.03,132.3382,97.1913,128.65,1401.47,63.8,high
rice,0.94756,5414.98,49569.99,137.4192,174.339,114.32,229.75,11.4,low
curry,0.71995,18781.88,50648.89,337.6461,258.8484,135.84,951.53,34.58,medium
mixed,0.76083,8175.86,49057.21,352.4058,315.1319,94.22,334.5,14.55,low
dal,0.87575,8711.82,45138.22,73.0075,83.6742,146.5,390.74,17.74,medium
dal,0.93146,5075.15,49636.86,118.4588,101.142,88.63,232.83,10.94,low
dal,0.79494,4565.74,38776.61,102.2001,29.4364,115.46,234.58,11.48,low
curry,0.81004,6028.83,49199.01,329.4094,260.4251,101.98,273.54,12.21,low
dessert,0.91621,5133.42,47054.58,227.5069,138.6538,115.05,260.22,12.13,low
dal,0.16923,38405.0,40052.01,10.9217,19.0617,122.75,1739.94,84.99,severe
vegetables,0.82722,4758.87,46237.57,388.8194,423.9428,129.71,181.13,9.33,low
bread,0.91244,4599.26,40515.43,54.7384,138.6053,115.36,138.37,11.32,low
dessert,0.92042,3551.16,41465.2,225.8458,162.7591,112.35,179.03,9.57,low
mixed,0.9124,5998.6,43901.36,410.6708,317.8636,116.48,282.08,16.0,medium
rice,0.36892,23538.66,45506.3,88.3219,105.9847,98.12,1023.11,55.16,high
mixed,0.82392,5825.78,49872.13,369.5888,362.8256,123.57,241.65,12.68,low
curry,1.0,144.54,39187.61,429.3759,321.3751,106.08,7.69,0.39,low
mixed,0.60714,15622.14,39873.5,277.5199,266.0034,121.55,633.64,37.0,medium
dal,0.89707,3888.25,55985.48,88.8486,78.2887,123.22,188.84,8.13,low
salad,0.61524,18948.63,49176.11,473.8146,368.11,165.17,685.73,39.52,medium
rice,0.78725,18175.35,48896.14,124.5353,158.8731,139.26,816.38,32.63,medium
salad,0.91348,5767.26,47115.07,537.9918,478.7409,138.95,191.55,11.79,low
salad,0.79891,6813.26,38182.92,527.0467,432.0342,125.78,219.96,17.88,medium
dal,0.63871,11734.08,43510.34,76.2975,67.8406,122.0,575.62,27.92,medium
dal,0.79054,9926.91,42237.24,88.6086,56.6371,118.58,504.69,25.24,medium
vegetables,0.77882,5848.37,34554.39,386.5455,375.3832,136.67,228.24,18.74,medium
bread,0.8805,3477.56,37243.91,114.8613,132.4392,137.61,97.32,9.82,low
rice,0.82535,10943.94,46061.76,109.9127,155.2672,123.02,479.94,26.52,medium
vegetables,0.77624,11243.99,46197.41,387.2938,403.5155,124.81,478.18,24.85,medium
curry,1.0,3581.31,46434.19,362.7363,324.3755,143.28,191.47,7.98,low
dessert,0.45984,23088.82,44559.02,107.2617,68.2068,139.53,1307.14,59.38,high
dessert,0.85637,9220.51,43917.71,186.8885,111.8266,117.36,503.24,19.95,medium
mixed,0.10704,48451.75,48451.75,227.5216,151.2713,141.4,2147.69,92.78,severe
dessert,0.88945,5701.91,42640.37,232.9862,134.6457,116.95,309.5,14.97,low
dal,0.90456,3948.02,47930.04,107.4226,97.4834,98.0,171.61,9.17,low
dal,0.56185,21201.37,45784.76,94.3909,57.1598,113.16,1029.37,47.29,high
vegetables,0.76745,10484.58,42099.43,383.8468,382.7546,134.6,429.85,27.27,medium
bread,0.85529,4643.07,41537.0,136.8432,137.1138,139.58,143.47,9.88,low
rice,0.83064,6833.06,43834.77,99.2151,150.7267,124.12,310.71,13.56,low
mixed,0.55451,16686.45,44283.01,282.639,264.5584,145.38,805.89,40.41,high
dal,0.8066,9903.06,41989.0,81.6088,66.8855,119.84,505.22,25.05,medium
bread,0.92333,1565.78,42154.31,96.9067,141.3449,133.49,48.15,3.82,low
salad,0.76998,10206.7,44136.29,493.8074,447.195,107.6,329.21,21.13,medium
dessert,0.39911,20837.83,44267.27,129.9224,70.159,140.63,1137.95,54.26,high
bread,0.60628,17301.46,44027.72,110.2108,120.9463,141.32,531.29,41.71,high
mixed,0.8743,4088.02,45709.43,341.6335,332.9853,120.78,177.68,7.99,low
vegetables,1.0,591.22,45593.49,464.4986,470.9965,122.55,21.33,1.13,low
vegetables,0.70527,15991.93,44613.57,382.558,392.8558,107.01,634.88,36.51,medium
dal,0.61757,14250.86,44778.73,83.1645,67.4518,110.25,638.16,34.21,medium
vegetables,0.46311,37103.7,50066.97,324.4487,283.6217,129.68,1381.24,64.54,high
dessert,0.98903,2299.83,43817.1,217.3511,160.7761,142.99,115.98,5.1,low
mixed,0.34968,25373.58,38849.86,268.7478,206.1785,133.48,1079.65,57.7,high
curry,0.37023,34965.44,51898.99,236.2634,199.2615,160.45,1841.91,64.8,high
curry,0.81483,7409.17,48356.31,413.9379,239.1788,127.2,362.57,13.73,low
dal,0.6709,13111.71,43991.99,132.5228,65.2137,135.13,660.7,34.02,medium
rice,0.05174,43016.22,48732.57,23.9731,51.1606,164.26,1784.47,98.49,severe
mixed,0.6211,14669.79,42254.41,300.0635,288.369,128.62,718.98,33.07,medium
bread,0.58101,19442.66,47574.23,71.6522,132.3337,126.02,547.28,46.03,high
mixed,0.65531,11864.49,42604.04,345.983,310.9399,140.79,482.81,30.96,medium
dessert,0.34055,26268.24,46470.64,122.0405,89.3463,126.42,1336.24,54.55,high
salad,0.2986,42315.3,50545.24,342.6925,264.0035,125.77,1436.63,77.97,severe
rice,0.32383,32227.03,43683.7,42.551,88.7224,132.74,1316.76,68.92,high
vegetables,0.2609,26695.65,42861.0,246.2836,236.6485,145.01,1022.51,72.84,severe
salad,0.75213,9044.81,46541.78,527.5501,472.8275,128.72,336.11,20.01,medium
dessert,0.59283,19336.53,46370.28,140.4824,84.0143,152.83,961.39,48.77,high
dal,0.88939,3068.17,46071.45,67.8858,76.1778,112.57,143.19,6.13,low
dal,0.12083,40758.48,45006.89,51.8106,47.1618,150.66,2120.68,96.76,severe
bread,0.67543,14292.93,35293.46,75.954,77.5283,144.65,410.01,42.9,high
curry,0.307,30385.37,39231.13,208.7892,169.0341,150.92,1527.32,69.65,high
salad,0.56725,20202.08,43872.15,436.1085,387.9812,132.66,746.75,41.97,high
salad,0.93611,3836.63,38280.03,610.972,517.158,122.78,123.14,8.83,low
vegetables,0.32517,27633.09,39657.19,241.1526,252.9791,150.89,1125.68,74.92,severe
mixed,0.54071,20459.82,46581.54,315.155,282.4496,155.36,872.25,41.49,high
curry,0.86691,6400.1,50864.87,417.4541,301.9799,141.09,346.75,13.1,low
bread,0.67408,13501.92,44606.36,43.0915,118.867,144.92,383.19,34.9,medium
mixed,0.64655,16976.52,39912.94,320.4836,254.2403,113.1,780.29,44.49,high
bread,0.62263,16767.03,37214.67,101.2082,105.2081,120.6,485.56,40.9,high
salad,0.27486,33321.45,45321.9,316.5198,305.1614,126.96,1252.03,73.21,severe
dal,0.93548,2388.44,46481.62,108.0914,91.4553,107.96,123.0,5.9,low
dal,0.23115,33897.72,46666.62,73.3587,20.4157,136.32,1568.04,72.48,severe
rice,0.9178,2646.1,44111.18,122.9485,123.0732,120.16,116.76,6.51,low
dessert,0.66366,18862.14,43920.8,136.3299,141.1183,123.52,948.16,38.52,medium
salad,0.71341,10477.69,44651.42,523.444,429.6528,143.23,353.38,22.74,medium
salad,1.0,1023.66,46959.07,647.5425,495.0116,95.9,37.22,2.1,low
dessert,0.81283,12312.84,51350.29,155.4404,161.1885,101.25,709.63,23.14,medium
bread,0.87235,7571.48,46768.19,79.0878,152.0254,143.42,234.06,15.09,medium
salad,0.51214,16674.32,50223.82,423.3464,337.6828,144.36,525.9,38.67,medium
rice,0.29127,29288.83,40657.26,78.3571,95.8295,126.08,1448.28,75.22,severe
rice,0.88099,6240.97,47240.6,112.4851,159.683,126.1,281.99,14.16,low
curry,0.56011,19565.87,46503.87,261.0984,212.3704,153.49,919.26,36.98,medium
salad,0.18684,34167.17,43881.58,273.0322,281.8455,133.3,1247.17,85.21,severe
curry,0.25716,34964.34,43344.75,196.1451,183.4415,135.53,1704.84,73.12,severe
bread,0.8649,6559.35,46205.24,81.3732,123.0137,118.7,199.47,12.6,low
vegetables,0.79383,8911.77,46088.99,428.1303,376.3798,126.31,320.92,20.73,medium
bread,0.79481,12978.03,45379.62,142.8383,117.53,138.49,353.6,28.36,medium
vegetables,0.96941,911.28,46823.51,464.3426,425.0392,116.54,36.24,1.74,low
curry,0.48818,25652.67,41433.94,272.3333,254.4624,117.81,1385.3,54.9,high
bread,0.60307,13889.94,42016.99,30.9222,110.3043,106.81,456.39,38.26,medium
vegetables,0.87532,4158.14,43780.96,439.3465,436.3192,108.56,153.22,8.47,low
dal,0.33178,30744.53,52191.28,26.3128,86.8382,108.65,1602.9,62.91,high
mixed,0.36417,32720.98,45488.2,252.527,249.0759,129.02,1339.06,68.68,high
salad,0.75955,11318.7,45441.79,507.0098,448.335,129.12,402.56,29.06,medium
salad,1.0,1160.91,49035.4,562.5487,475.1497,139.13,37.75,2.53,low
vegetables,0.65423,23282.85,52709.24,347.1854,331.1332,91.12,891.93,41.64,high
vegetables,0.92257,1896.37,44383.73,451.1374,407.2151,147.89,77.04,4.92,low
dal,0.82562,9150.21,46186.22,69.4735,79.5862,115.32,407.86,17.43,medium
dal,0.497,20768.95,43142.14,132.3883,54.0716,135.48,1045.47,46.38,high
vegetables,0.73977,13776.0,54522.84,388.0336,324.7946,108.57,498.77,29.0,medium
vegetables,0.89067,3581.7,48758.86,449.8981,409.8315,108.97,151.37,8.43,low
dal,0.92419,1581.13,49081.55,127.1056,103.5467,123.57,78.15,3.65,low
rice,0.53449,18556.76,42283.63,77.0576,159.7202,127.67,846.57,42.74,high
curry,0.9245,2617.72,46615.35,327.3578,331.1063,137.83,128.36,5.62,low
dessert,0.52379,28822.86,50866.39,130.4062,133.1955,131.57,1667.91,52.63,high
mixed,0.53175,22647.68,43724.29,296.7822,242.6896,120.8,1044.62,45.67,high
curry,0.8953,4711.95,41644.34,363.977,354.0407,119.76,217.32,11.71,low
curry,0.86879,6353.86,46095.2,341.2237,291.2506,122.88,325.1,13.22,low
rice,0.79615,11354.07,50837.66,143.68,129.0446,138.0,541.11,21.24,medium
dal,0.70866,14215.67,48632.73,71.7977,95.8216,135.23,669.23,28.24,medium
rice,0.82589,7523.66,49297.57,128.1228,183.1123,135.51,312.18,14.97,low
vegetables,0.65189,21260.02,49660.04,361.7992,327.3153,120.47,805.68,37.77,medium
vegetables,1.0,423.67,45465.92,467.5302,431.0518,115.24,17.07,1.05,low
curry,0.88086,4885.06,47805.27,381.2042,310.3467,134.37,223.28,9.08,low
salad,0.48195,30779.02,52393.85,386.4814,324.5145,123.22,1089.47,60.33,high
curry,0.63112,19216.7,46606.31,286.0303,269.1267,132.58,961.49,45.37,high
rice,0.93616,1223.99,45558.68,136.9018,180.9119,116.58,50.54,2.74,low
mixed,0.60641,16478.81,37050.49,314.5443,299.3668,152.66,697.13,46.06,high
dal,0.60335,22245.88,48512.64,70.4898,55.0555,119.17,1063.89,46.38,high
curry,0.71183,13303.73,55630.08,288.852,263.4544,127.99,722.2,21.64,medium
vegetables,0.65836,14100.58,40680.19,381.555,346.1177,123.94,617.99,37.33,medium
bread,0.79848,14096.16,47565.8,111.7256,108.5419,121.02,462.28,27.23,medium
vegetables,0.84254,4990.99,44184.14,448.6133,387.4431,107.47,198.65,12.32,low
curry,0.09842,42071.03,49458.19,132.0061,103.4709,163.36,2188.53,85.33,severe
curry,0.44404,20456.58,45546.85,224.3331,244.0126,158.95,1002.66,49.11,high
rice,0.9133,6261.24,46755.92,206.1412,192.2459,118.77,263.7,11.67,low
rice,0.86157,7006.2,46833.34,140.7003,170.2546,127.13,312.89,13.28,low
salad,0.82158,6936.16,45106.24,560.8252,459.5732,96.13,220.01,14.19,low
bread,0.60979,17056.11,46897.55,55.5592,87.4259,123.53,516.83,38.33,medium
salad,0.2483,39199.41,43463.67,302.1254,273.9716,124.9,1253.28,82.71,severe
bread,0.82371,5938.59,44452.66,115.0436,114.9757,117.08,190.05,13.39,low
vegetables,0.9272,4807.13,41131.04,441.4398,422.2871,109.71,187.14,13.1,low
mixed,0.45358,28374.82,46148.85,245.3325,249.7815,111.81,1349.01,57.39,high
rice,0.37574,37519.41,51439.96,100.0257,141.5333,174.44,1670.19,66.3,high
dessert,0.85303,8934.2,44251.65,212.264,85.5119,108.68,491.42,19.91,medium
vegetables,0.69536,12312.32,43001.38,384.0384,373.2472,120.95,488.25,32.11,medium
bread,0.56312,18584.71,43576.01,78.7539,117.5716,108.63,560.72,42.24,high
bread,0.6195,16909.18,50815.65,72.69,128.5038,132.49,465.0,30.96,medium
mixed,0.36481,33020.2,45546.75,287.5145,228.0108,150.88,1540.87,64.5,high
salad,0.36028,30437.64,43809.52,387.2377,286.1805,136.01,1156.33,67.38,high
bread,0.70853,9620.64,43781.12,69.9789,86.3822,119.46,300.22,25.83,medium
curry,0.46906,26424.1,45235.98,228.9665,182.0604,120.08,1440.09,51.29,high
curry,0.42466,28600.47,49978.83,238.6995,204.7833,135.17,1502.58,52.89,high
curry,0.07607,51977.51,51977.51,165.7369,134.5781,138.97,2543.81,92.62,severe
rice,1.0,1533.61,42657.99,108.8285,193.5728,118.46,74.77,3.6,low
dal,0.62537,13164.56,44169.31,113.8433,98.8683,111.91,583.19,34.06,medium
bread,0.65562,13710.74,46998.08,129.6643,93.5019,151.49,398.27,34.19,medium
salad,0.76426,10195.31,45124.23,479.1306,457.6168,139.49,337.52,21.0,medium
